20,0.01835578
21,0.01669497
30,0.01243371
31,0.01379851
2,0.01819379
19,0.01184444
21,0.02171954
23,0.01126335
27,0.02879878
30,0.01813416
52,0.01006925
2,0.01819379
19,0.01184444
21,0.02171954
23,0.01126335
27,0.02879878
30,0.01813416
52,0.01006925
20,0.01482071
25,0.01191092
27,0.01581393
28,0.01880646
30,0.02218121
37,0.01133176
40,0.01495949
41,0.01280948
18,0.01114815
19,0.01047474
21,0.01299112
24,0.01434899
26,0.0214759
27,0.02322885
28,0.01595469
29,0.03408779
31,0.01441638
35,0.01067689
39,0.01072891
40,0.01331897
41,0.01030898
55,0.01083718
64,0.01289997
67,0.01149657
18,0.01114815
19,0.01047474
21,0.01299112
24,0.01434899
26,0.0214759
27,0.02322885
28,0.01595469
29,0.03408779
31,0.01441638
35,0.01067689
39,0.01072891
40,0.01331897
41,0.01030898
55,0.01083718
64,0.01289997
67,0.01149657
20,0.01136289
23,0.02280301
26,0.03196855
27,0.01508032
28,0.01074632
29,0.02322461
30,0.01178889
31,0.01000179
39,0.02111033
41,0.01506236
51,0.01363881
53,0.01143003
54,0.01009916
66,0.01040451
71,0.01293778
20,0.01136289
23,0.02280301
26,0.03196855
27,0.01508032
28,0.01074632
29,0.02322461
30,0.01178889
31,0.01000179
39,0.02111033
41,0.01506236
51,0.01363881
53,0.01143003
54,0.01009916
66,0.01040451
71,0.01293778
1,0.01160295
2,0.01122832
4,0.01052407
20,0.01100839
22,0.01205507
25,0.01474432
26,0.01251354
29,0.0190839
32,0.02223834
33,0.01640172
34,0.01059329
38,0.01050425
39,0.01396824
44,0.01164976
52,0.01428994
53,0.01487823
55,0.01458661
57,0.0128771
66,0.02001323
69,0.01166049
70,0.01410062
23,0.01384517
26,0.01251866
27,0.02357198
28,0.01486383
29,0.01075152
30,0.01328434
32,0.02035335
40,0.01205464
51,0.01170036
53,0.01373173
54,0.01187405
56,0.01009256
62,0.01236044
63,0.01110227
66,0.0160376
67,0.01668856
69,0.01260111
21,0.01267901
25,0.01053989
27,0.03061764
28,0.01753159
29,0.01081598
32,0.01340037
40,0.01459697
52,0.01013049
56,0.01012085
61,0.0109748
64,0.02427274
66,0.01044631
67,0.01141876
68,0.01022873
69,0.01230269
70,0.01048731
20,0.01246622
21,0.01198814
25,0.01342988
27,0.02133942
32,0.01237015
33,0.01406563
51,0.01152554
52,0.01251489
64,0.01229452
65,0.01380774
66,0.01076927
22,0.01234265
23,0.01353996
26,0.01130966
27,0.01575231
29,0.02725823
30,0.01586017
31,0.01040995
32,0.01741589
33,0.01960095
39,0.01492091
40,0.01085621
41,0.01262595
53,0.01878923
58,0.0100294
66,0.01275559
21,0.01267239
27,0.01117923
28,0.01538369
31,0.01370511
41,0.01214237
52,0.01560932
53,0.01179182
54,0.0140086
57,0.01108638
65,0.01168689
70,0.01249984
21,0.01267239
27,0.01117923
28,0.01538369
31,0.01370511
41,0.01214237
52,0.01560932
53,0.01179182
54,0.0140086
57,0.01108638
65,0.01168689
70,0.01249984
20,0.01612845
21,0.01800265
22,0.01058229
23,0.01218119
26,0.01407279
27,0.02960883
31,0.01037719
40,0.02035845
41,0.01253741
56,0.01289741
22,0.0118634
23,0.01627208
25,0.01398131
26,0.01561169
30,0.01233331
31,0.01046486
32,0.01197492
33,0.01033481
51,0.01707748
52,0.01001318
54,0.01268107
57,0.01010921
65,0.01149158
21,0.0127221
25,0.01151278
26,0.01129727
28,0.01243245
29,0.0206614
32,0.01147032
34,0.01279411
51,0.0108923
56,0.01257124
64,0.01401335
68,0.01318622
21,0.0127221
25,0.01151278
26,0.01129727
28,0.01243245
29,0.0206614
32,0.01147032
34,0.01279411
51,0.0108923
56,0.01257124
64,0.01401335
68,0.01318622
2,0.01247613
20,0.01738515
22,0.01588115
25,0.01545008
27,0.01584539
29,0.01393471
33,0.01273011
35,0.01020066
36,0.01315998
42,0.01753989
52,0.01843634
54,0.01881067
55,0.0110514
57,0.0109735
58,0.01401752
65,0.01179181
2,0.01502665
21,0.01406411
28,0.02199446
32,0.01367703
36,0.0100296
52,0.01128195
58,0.01064253
64,0.01978473
65,0.01187767
66,0.01084322
20,0.01048325
23,0.01176141
26,0.01097387
27,0.0187571
29,0.01299523
30,0.01381177
33,0.01049878
34,0.01189707
39,0.01337817
53,0.01548524
54,0.01414542
55,0.01214927
57,0.01125237
63,0.01335729
66,0.01019695
70,0.01456103
21,0.01111557
26,0.01212374
27,0.01154768
28,0.01268508
29,0.01275277
30,0.01569097
31,0.01156493
34,0.01312795
35,0.01641967
52,0.01076242
53,0.01283728
65,0.01690075
66,0.01545287
69,0.01004194
22,0.01269864
26,0.014506
27,0.01587225
28,0.01019253
31,0.0170358
39,0.01006948
55,0.01403324
64,0.01103861
65,0.02199531
66,0.0102111
20,0.0121723
22,0.01036199
27,0.02085176
29,0.0161701
30,0.01144683
31,0.01197735
32,0.01540677
41,0.01090407
56,0.01004054
57,0.01035128
58,0.01073472
59,0.01018043
61,0.01417379
65,0.01159482
66,0.01359441
19,0.01032468
21,0.01060098
26,0.02552003
28,0.01419239
29,0.0162351
31,0.01374134
40,0.01023382
41,0.01018079
70,0.01429379
21,0.01183344
30,0.01370865
31,0.01208747
33,0.01151053
53,0.01219743
54,0.01076567
64,0.01806657
66,0.011665
21,0.01183344
30,0.01370865
31,0.01208747
33,0.01151053
53,0.01219743
54,0.01076567
64,0.01806657
66,0.011665
25,0.01214643
27,0.01009679
52,0.01154612
64,0.01293233
68,0.01284491
25,0.01214643
27,0.01009679
52,0.01154612
64,0.01293233
68,0.01284491
24,0.01440369
26,0.01124545
29,0.01329889
32,0.01108711
34,0.01265271
64,0.01346399
65,0.01065588
66,0.01127381
67,0.010697
24,0.01440369
26,0.01124545
29,0.01329889
32,0.01108711
34,0.01265271
64,0.01346399
65,0.01065588
66,0.01127381
67,0.010697
24,0.0146867
27,0.01346236
28,0.01605359
29,0.01012815
30,0.01731802
33,0.01003161
52,0.02005703
53,0.01555969
55,0.01001022
64,0.01800032
65,0.01271158
70,0.01002352
24,0.0146867
27,0.01346236
28,0.01605359
29,0.01012815
30,0.01731802
33,0.01003161
52,0.02005703
53,0.01555969
55,0.01001022
64,0.01800032
65,0.01271158
70,0.01002352
27,0.01513068
32,0.01114438
35,0.01212694
39,0.01195829
51,0.01644462
53,0.02291498
56,0.01382935
65,0.01327455
67,0.01241488
68,0.01526636
27,0.01168766
29,0.01188748
30,0.01033042
51,0.01381543
52,0.01039988
54,0.01112445
55,0.0137232
58,0.01016257
62,0.01064147
65,0.0154777
70,0.01007072
28,0.01085922
29,0.01219677
66,0.01175326
71,0.01090918
24,0.01168614
28,0.01010379
52,0.01890058
55,0.01273028
68,0.01288525
21,0.01256775
26,0.01578749
28,0.01901205
29,0.01065086
40,0.01107307
53,0.01504215
64,0.01677287
21,0.01256775
26,0.01578749
28,0.01901205
29,0.01065086
40,0.01107307
53,0.01504215
64,0.01677287
22,0.01057313
31,0.0108048
52,0.01882761
65,0.0105862
69,0.01074626
27,0.01305867
29,0.01292893
31,0.01005724
32,0.01769569
33,0.0158317
65,0.02053276
27,0.01305867
29,0.01292893
31,0.01005724
32,0.01769569
33,0.0158317
65,0.02053276
25,0.01259324
28,0.01185451
63,0.01155872
22,0.01073215
24,0.01080343
28,0.01345244
40,0.01029388
53,0.01024805
70,0.01083405
22,0.01073215
24,0.01080343
28,0.01345244
40,0.01029388
53,0.01024805
70,0.01083405
26,0.01272428
28,0.02061035
30,0.01131598
52,0.01164451
53,0.01755897
56,0.01085783
60,0.0128254
66,0.01029274
26,0.01272428
28,0.02061035
30,0.01131598
52,0.01164451
53,0.01755897
56,0.01085783
60,0.0128254
66,0.01029274
21,0.01588671
26,0.01473751
28,0.0147478
30,0.01237382
35,0.01028746
53,0.01410818
65,0.01068652
67,0.01456486
69,0.01025937
26,0.01706922
27,0.01156921
28,0.01180207
29,0.01280199
63,0.01344333
64,0.0128362
68,0.0129956
26,0.01706922
27,0.01156921
28,0.01180207
29,0.01280199
63,0.01344333
64,0.0128362
68,0.0129956
54,0.01232591
67,0.01267266
54,0.01232591
67,0.01267266
25,0.01157775
26,0.01903214
60,0.01044139
63,0.01718784
66,0.01282653
25,0.01157775
26,0.01903214
60,0.01044139
63,0.01718784
66,0.01282653
52,0.01017771
52,0.01017771
25,0.01097375
34,0.01021789
63,0.01428276
25,0.01097375
34,0.01021789
63,0.01428276
27,0.01053123
53,0.0115522
25,0.01199104
28,0.01820752
40,0.01254209
63,0.01348466
64,0.0138238
25,0.01199104
28,0.01820752
40,0.01254209
63,0.01348466
64,0.0138238
26,0.01491424
27,0.01148235
28,0.01192495
63,0.01156992
26,0.01491424
27,0.01148235
28,0.01192495
63,0.01156992
27,0.01546685
53,0.01580704
27,0.01546685
53,0.01580704
53,0.01014656
70,0.0133413
41,0.01739054
55,0.01216578
59,0.01059975
41,0.01739054
55,0.01216578
59,0.01059975
21,0.01050878
28,0.01178512
29,0.01801463
63,0.01183536
21,0.01050878
28,0.01178512
29,0.01801463
63,0.01183536
27,0.01013088
28,0.01047446
66,0.01028443
2,0.01268995
27,0.01174812
29,0.01254439
30,0.01620152
32,0.01470696
54,0.01012152
2,0.01268995
27,0.01174812
29,0.01254439
30,0.01620152
32,0.01470696
54,0.01012152
2,0.01268995
27,0.01174812
29,0.01254439
30,0.01620152
32,0.01470696
54,0.01012152
22,0.01037059
26,0.01665893
28,0.0118794
29,0.01097181
31,0.01151516
25,0.01136212
27,0.02614474
28,0.0147114
30,0.01173976
31,0.01298764
63,0.01109333
25,0.01136212
27,0.02614474
28,0.0147114
30,0.01173976
31,0.01298764
63,0.01109333
26,0.011733
27,0.01832006
29,0.01291798
41,0.01021084
42,0.01059556
27,0.01957659
28,0.01529603
27,0.01957659
28,0.01529603
29,0.01090507
29,0.01090507
26,0.01275451
28,0.0136962
31,0.01114408
54,0.01163284
5,0.01134497
20,0.01197746
26,0.01446935
5,0.01134497
20,0.01197746
26,0.01446935
5,0.01134497
20,0.01197746
26,0.01446935
25,0.01067718
26,0.01780528
26,0.01461195
29,0.01091526
54,0.0102496
63,0.01107611
26,0.01461195
29,0.01091526
54,0.0102496
63,0.01107611
22,0.01263387
26,0.01638232
30,0.01487414
33,0.01161644
22,0.01263387
26,0.01638232
30,0.01487414
33,0.01161644
26,0.01953014
27,0.01643212
28,0.01229962
29,0.02256309
30,0.01238005
25,0.01189953
28,0.01320859
30,0.01265039
63,0.01213603
25,0.01189953
28,0.01320859
30,0.01265039
63,0.01213603
25,0.01271118
26,0.0135098
27,0.01808211
33,0.01013728
27,0.01661996
30,0.0145925
27,0.01661996
30,0.0145925
26,0.01690478
29,0.01342684
26,0.01690478
29,0.01342684
22,0.01127181
26,0.01764767
28,0.01216043
30,0.01161913
53,0.01222418
22,0.01127181
26,0.01764767
28,0.01216043
30,0.01161913
53,0.01222418
25,0.01135843
26,0.01325009
27,0.01958685
28,0.01612022
31,0.01454923
35,0.0109711
20,0.01311474
26,0.01032106
27,0.01304548
28,0.0162051
31,0.01280757
20,0.01311474
26,0.01032106
27,0.01304548
28,0.0162051
31,0.01280757
21,0.01000795
28,0.01323092
21,0.01000795
28,0.01323092
26,0.01941715
27,0.01532358
26,0.01110748
27,0.02166631
28,0.01909937
29,0.01257525
30,0.01361435
26,0.01110748
27,0.02166631
28,0.01909937
29,0.01257525
30,0.01361435
25,0.01380211
26,0.01167244
27,0.0175275
29,0.01784466
31,0.01009845
25,0.01380211
26,0.01167244
27,0.0175275
29,0.01784466
31,0.01009845
26,0.0185541
27,0.01200299
28,0.02459911
55,0.01041587
26,0.0185541
27,0.01200299
28,0.02459911
55,0.01041587
20,0.0130555
22,0.01164919
27,0.01924918
20,0.0130555
22,0.01164919
27,0.01924918
20,0.01353606
30,0.01008786
31,0.01004644
55,0.01100455
25,0.01881389
26,0.02826991
28,0.01434478
25,0.01881389
26,0.02826991
28,0.01434478
26,0.01641921
28,0.01653299
30,0.01186721
26,0.01479194
27,0.02270143
28,0.01280481
26,0.01479194
27,0.02270143
28,0.01280481
28,0.01726734
29,0.01807533
30,0.01311212
31,0.01719021
21,0.01422902
30,0.01091523
21,0.01422902
30,0.01091523
21,0.01422902
30,0.01091523
27,0.01012101
28,0.01410205
24,0.01014548
27,0.02599219
28,0.01551682
30,0.0100954
33,0.01044551
24,0.01014548
27,0.02599219
28,0.01551682
30,0.0100954
33,0.01044551
25,0.01279183
27,0.01974392
30,0.01247409
31,0.01012894
32,0.01155458
25,0.01279183
27,0.01974392
30,0.01247409
31,0.01012894
32,0.01155458
27,0.02554002
28,0.01468504
24,0.01014688
27,0.01447408
31,0.01175823
24,0.01014688
27,0.01447408
31,0.01175823
27,0.02649471
28,0.01399483
20,0.01203609
26,0.01249896
28,0.01573879
20,0.01203609
26,0.01249896
28,0.01573879
20,0.01203609
26,0.01249896
28,0.01573879
26,0.01142885
28,0.0123687
29,0.0103696
30,0.01193462
31,0.01443781
53,0.01167895
26,0.01142885
28,0.0123687
29,0.0103696
30,0.01193462
31,0.01443781
53,0.01167895
26,0.01017142
26,0.01017142
28,0.01309254
30,0.01120973
27,0.01056013
30,0.01030718
27,0.01056013
30,0.01030718
22,0.01156243
26,0.01196613
28,0.01356082
22,0.01156243
26,0.01196613
28,0.01356082
27,0.01462814
34,0.0111498
27,0.01935405
27,0.01935405
27,0.01169375
27,0.01169375
29,0.01882222
29,0.01882222
25,0.01585652
26,0.01331842
28,0.02023794
25,0.0120132
26,0.0256753
27,0.01909753
28,0.01029188
25,0.0120132
26,0.0256753
27,0.01909753
28,0.01029188
28,0.01528108
26,0.0113224
27,0.01685901
26,0.0113224
27,0.01685901
20,0.01045539
20,0.01045539
28,0.01107266
28,0.01107266
,
36.98381503,
15.90462082,
